Pesta?a,?rea,Funcionalidad,Descripci?n detallada,Dependencias directas,Estado actual,Notas de producto
Sales,Prospecci?n,Modos de validaci?n y ejecuci?n larga,Permite lanzar la prospecci?n en modo solo validaci?n (`dry-run`) o marcar una ejecuci?n larga/as?ncrona para b?squedas m?s pesadas.,products/desktop/ui/templates/nexus_sales.html; /api/nexus/prospecting/run,Funciona con matices,El modo as?ncrono necesita m?s robustez y feedback de estado.
Sales,Prospecci?n,KPIs del run,"Mini indicadores con identificador del ?ltimo run, cantidad de resultados ?tiles y cantidad de descartados para seguir el progreso de la prospecci?n.",products/desktop/ui/templates/nexus_sales.html; /api/nexus/prospecting/runs/{id},Funciona,"Da contexto r?pido, pero deber?a acompa?arse de estados m?s legibles."
Sales,Prospecci?n,Tabla de resultados enriquecidos,"Tabla con nombre, vertical, ciudad, web, email, tel?fono, score, prioridad, estado CRM, motivo, fuente y acciones para cada candidato descubierto.",products/desktop/ui/templates/nexus_sales.html; /api/nexus/prospecting/runs/{id}; scoring y extractors de prospecting,Funciona con matices,"La tabla ya existe, pero su valor real depende de cerrar discovery y push al CRM."
Sales,Prospecci?n,Acciones sobre runs y resultados,"Incluye acciones para recargar, reanudar runs, ver descartados y enviar los leads v?lidos al CRM desde la misma pantalla.",products/desktop/ui/templates/nexus_sales.html; /api/nexus/prospecting/*; /api/nexus/crm/*,Parcial,"El gesto existe, pero todav?a hay partes en modo prudente / preview."
Sales,CRM,Panel de estado del CRM interno,"Muestra origen del CRM, cantidad de pendientes y campa?as, y deja claro que el CRM es la fuente de verdad para leads y seguimiento.",/api/nexus/crm/status; app/nexus/crm/service.py; assets-web-api,Funciona,Es ?til como panel de contexto; le falta m?s profundidad operativa.
Sales,Outreach,Preparaci?n secundaria de campa?as CSV,"Bloque colapsable para preparar campa?as de outreach desde CSV con propuesta, CTA, audiencia, l?mite diario y modo simulaci?n.",products/desktop/ui/templates/nexus_sales.html; /api/nexus/outreach/launch; app/nexus/outreach/service.py,Funciona en dry-run,Sigue siendo apoyo secundario; el foco de Sales ya no deber?a estar aqu?.
Sales,Actividad,"Feeds de Prospecting, Outreach y Actividad","Tres vistas de actividad para seguir runs de prospecci?n, campa?as de outreach y actividad comercial general desde un mismo rail lateral.",products/desktop/ui/templates/nexus_sales.html; products/desktop/ui/static/js/nexus_sales.js,Funciona,"Buena base, aunque todav?a algo dispersa en jerarqu?a y relato visual."
Prompting,Cat?logo,Listado de grupos y prompts,Sidebar que carga el cat?logo vivo de prompts disponibles en Nexus y los organiza por grupos para edici?n manual.,products/desktop/ui/templates/nexus_prompts.html; /api/nexus/prompts; app/nexus/prompts,Funciona,Es una herramienta potente para ajustar el comportamiento sin tocar c?digo.
Prompting,Edici?n,Editor del prompt actual,"Textarea principal donde se modifica el texto efectivo del prompt seleccionado, con aplicaci?n inmediata una vez guardado.",products/desktop/ui/templates/nexus_prompts.html; /api/nexus/prompts/{key},Funciona,Es una de las mejores palancas de mejora del sistema hoy mismo.
Prompting,Comparaci?n,Vista base vs actual,"Panel de referencia que ense?a el prompt base para comparar la versi?n actual, revisar overrides y poder resetear con criterio.",products/desktop/ui/templates/nexus_prompts.html; app/nexus/prompts,Funciona,Muy ?til para no perder el baseline cuando iteramos r?pido.
Prompting,Acciones,Guardar y resetear prompts,"Acciones expl?citas para persistir un override o volver al valor por defecto, con indicador de estado de guardado en la cabecera.",products/desktop/ui/templates/nexus_prompts.html; products/desktop/ui/static/js/nexus_prompts.js,Funciona,Correcto y directo; poca fricci?n para iterar.
Modelos,Configuraci?n,Formulario de proveedor remoto,"Pantalla para configurar la conexi?n del backend LLM remoto con etiqueta, tipo, base URL, modelo, API key y bandera de activaci?n.",products/desktop/ui/templates/open_nexus_models.html; /api/desktop/providers; desktop.storage.provider_config,Funciona,Es la palanca de independencia del desktop respecto a `.env`.
Modelos,Estado,Resumen del proveedor activo,"Panel lateral que muestra qu? proveedor est? activo, si est? configurado correctamente y si se ha aplicado al runtime actual.",products/desktop/ui/templates/open_nexus_models.html; /api/desktop/providers,Funciona,Muy ?til para diagn?stico de conectividad y cambios de modelo.
Modelos,Persistencia,Visualizaci?n de rutas de configuraci?n,Muestra d?nde guarda Open-Nexus la configuraci?n local del proveedor para que el equipo pueda auditar persistencia y soporte.,products/desktop/ui/templates/open_nexus_models.html; desktop.storage.local_state,Funciona,M?s ?til para soporte y depuraci?n que para usuario final.
